10 15
.........T.....
XX...XX...XXXXX
X.........G....
XXXXXXX...XXX..
....XG....X....
XX..XGX...XXXXX
....XXX........
XX...XX.K.XXXXX
S..............
XX...XX...XXXXX
0,0,8,3,9,2,6,4,5,4
0,0,8,3,8,2,7,4,5,5
0,0,8,3,7,2,8,4,5,4
0,0,8,3,6,2,9,4,5,5
0,0,8,3,5,2,8,4,5,4
0,0,8,3,4,2,7,4,5,5
0,1,8,3,3,2,6,4,5,4
0,2,8,3,2,2,5,4,6,4
0,3,8,3,1,2,5,5,7,4
0,4,8,3,2,2,5,4,8,4
0,5,8,3,3,2,6,4,9,4
0,6,8,3,4,2,7,4,9,3
0,7,8,3,5,2,8,4,9,2
0,8,8,3,6,2,9,4,9,1
1,8,7,3,7,2,9,5,9,0
1,8,6,3,8,2,9,6,9,1
1,8,5,3,9,2,9,7,9,2
1,8,4,3,10,2,9,8,9,3
1,8,3,3,11,2,9,9,9,4
1,8,2,3,12,2,9,8,9,5
1,8,1,3,13,2,9,7,9,6
1,8,0,3,14,2,9,6,9,7
1,9,0,3,13,2,9,5,9,8
